1234, 2.397,59.431, 0.000,32.664, 0.000
1480, 2.996,62.266, 0.000,32.889, 0.000
1776, 2.441,63.761, 0.000,32.726, 0.000
2132, 2.436,65.064, 0.000,35.592, 0.000
2558, 2.451,66.950, 0.000,35.550, 0.000
3070, 2.461,69.776, 0.000,35.589, 0.000
3684, 2.475,70.549, 0.000,35.539, 0.000
4422, 2.506,71.426, 0.000,38.565, 0.000
5306, 2.540,73.653, 0.000,38.844, 0.000
6368, 2.660,75.952, 0.000,39.241, 0.000
7640, 2.859,76.424, 0.000,38.681, 0.000
9168, 3.139,78.066, 0.000,41.648, 0.000
11002, 3.350,80.781, 0.000,41.592, 0.000
13202, 3.568,83.035, 0.000,41.574, 0.000
15844, 3.846,83.786, 0.000,41.603, 0.000
19012, 3.923,86.901, 0.000,44.589, 0.000
22814, 4.119,89.233, 0.000,44.648, 0.000
27378, 4.451,90.492, 0.000,44.637, 0.000
32854, 4.750,91.477, 0.000,47.688, 0.000
39424, 5.199,94.215, 0.000,47.762, 0.000
47308, 5.886,97.853, 0.000,50.447, 0.000
56770, 6.381,99.587, 0.000,47.638, 0.000
68124, 7.385,102.698, 0.000,51.114, 0.000
81750, 8.972,107.877, 0.000,51.256, 0.000
98100,10.035,112.906, 0.000,56.394, 0.000
117718,11.093,116.077, 0.000,51.381, 0.000
141262,11.970,120.432, 0.000,57.222, 0.000
169516,12.792,125.517, 0.000,57.646, 0.000
203418,13.539,130.353, 0.000,58.721, 0.000
244102,14.135,133.514, 0.000,57.206, 0.000
292922,14.168,136.917, 0.000,63.935, 0.000
351506,14.050,141.528, 0.000,64.406, 0.000
421808,14.132,143.628, 0.000,63.899, 0.000
506170,14.130,145.557, 0.000,64.051, 0.000
607404,14.452,149.311, 0.000,67.828, 0.000
728884,15.072,158.285, 0.000,70.352, 0.000
874662,15.360,162.819, 0.000,70.950, 0.000
1049594,15.521,165.451, 0.000,69.647, 0.000
1259512,16.317,170.090, 0.000,73.053, 0.000
1511416,16.968,174.217, 0.000,74.261, 0.000
1813698,17.832,179.225, 0.000,90.283, 0.000
2176438,20.727,188.794, 0.000,80.613, 0.000
2611726,24.653,196.363, 0.000,89.638, 0.000
3134070,32.059,209.608, 0.000,99.743, 0.000
3760884,38.176,215.435, 0.000,102.607, 0.000
4513062,45.176,243.797, 0.000,124.683, 0.000
5415674,45.539,233.041, 0.000,130.141, 0.000
6498810,49.687,244.653, 0.000,101.980, 0.000
7798570,53.866,256.621, 0.000,138.553, 0.000
9358284,59.784,268.903, 0.000,132.161, 0.000
11229942,61.002,285.564, 0.000,150.236, 0.000
13475932,62.359,288.547, 0.000,151.039, 0.000
16171116,65.466,303.261, 0.000,122.427, 0.000
19405340,67.432,316.092, 0.000,165.247, 0.000
23286406,69.717,329.199, 0.000,169.597, 0.000
27943692,68.059,333.111, 0.000,177.454, 0.000
33532424,69.418,352.379, 0.000,181.792, 0.000
40238908,71.417,353.448, 0.000,184.442, 0.000
48286688,73.201,368.853, 0.000,196.326, 0.000
57944036,72.100,372.782, 0.000,201.999, 0.000
69532832,72.710,386.039, 0.000,159.786, 0.000
83439408,73.102,396.009, 0.000,217.537, 0.000
100127288,74.480,407.153, 0.000,221.118, 0.000
120152760,74.862,411.843, 0.000,224.275, 0.000
144183296,74.700,426.654, 0.000,193.564, 0.000
173019952,74.730,439.031, 0.000,233.281, 0.000
207623952,75.753,449.321, 0.000,238.836, 0.000
249148752,74.897,456.179, 0.000,241.917, 0.000
298978464,77.281,478.902, 0.000,250.404, 0.000
358774176,75.683,482.030, 0.000,249.281, 0.000
430528992,75.206,494.941, 0.000,255.052, 0.000
516634848,77.825,517.730, 0.000,268.102, 0.000
619961728,76.033,519.193, 0.000,268.723, 0.000
743954176,78.045,547.279, 0.000,280.151, 0.000
892744960,76.499,545.994, 0.000,276.293, 0.000
